STUDY_ID	SITE_ID	SUBJECT_ID	SAMPLE_ID	PLATFORM	TISSUETYPE	ATTR1	ATTR2	CATEGORY_CD	
GSE0		996RMS	GSM1000000719	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		939PMS	GSM1000000722	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		665PMS	GSM1000000729	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		511PMS	GSM1000000735	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		911PMS	GSM1000000723	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		459PMS	GSM1000000736	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		670RMS	GSM1000000727	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		667PMS	GSM1000000728	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		658PMS	GSM1000000730	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		682PMS	GSM1000000726	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		642PMS	GSM1000000731	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		452PMS	GSM1000000737	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		170PMS	GSM1000000742	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		55PMS	GSM1000000744	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		160PMS	GSM1000000758	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		518RMS	GSM1000000761	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		568RMS	GSM1000000763	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		458PMS	GSM1000000764	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		946RMS	GSM1000000768	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		781RMS	GSM1000000770	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		457PMS	GSM1000000772	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		807RMS	GSM1000000775	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		778RMS	GSM1000000777	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		857RMS	GSM1000000780	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		679RMS	GSM1000000784	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		563PMS	GSM1000000786	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		605PMS	GSM1000000790	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		871RMS	GSM1000000794	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
GSE0		450PMS	GSM1000000807	GPL96	Blood			Biomarker_Data+PLATFORM+TISSUETYPE
